brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
PASUM'S,,1399.0,1999.0,B0G25VP82B,,,,women handloom soft copper joriwork dhakai jamdani cotton silk saree with rich pallu ethnic for party festival traditional indain with blouse piece
Moumita's Saree,,1129.0,3399.0,B0BVBSWH5N,,3.5,30.0,traditional bengal cotton silk soft traditional jamdani saree
SWORNOF,,854.0,3999.0,B0DTZ1L721,,4.5,209.0,linen silk saree | saree with unstitched blouse | saree with blouse piece | soft and skin friendly
QUETZAL HANDLOOM SAREE,,999.0,2499.0,B0BTHF9B8H,,3.7,27.0,kantha stitch handloom assam silk jamdani saree with blouse
TANTLOOM,,1199.0,4599.0,B0CZL22T2G,,5.0,2.0,women`s resham dhakai jamdani cotton handloom saree motif design jamdani saree
Fratona,,599.0,4499.0,B0F9WWDCX7,,3.4,11.0,kanjivaram soft silk banarasi saree with blouepiece
WoodenTant,,2536.0,4500.0,B0C2VZ5QZ7,,4.8,22.0,women?s cotton silk dhakai jamdani saree without blouse piece
Anchol,,999.0,3499.0,B0CNN2D2JR,,3.8,32.0,saree traditional bengal cotton silk jamdani saree.
Mayabi,,999.0,1999.0,B0FHQGK5MH,,4.6,3.0,"soft dhakai jamdani saree with blouse piece (0.8m separately provided), pure cotton silk, lightweight all occasion wear, korat border"
PASUM'S,,999.0,2499.0,B0GFNV8TM5,,,,women handloom printed cotton blend dhakai jamdani silk saree with traditional motif pallu ethnic for party festival indain blouse piece
WoodenTant,,2536.0,4500.0,B0C2VYP67T,,3.9,3.0,women’s cotton silk copper zari dhakai jamdani saree without blouse piece_(yellow & red)
BASANA SAREE KUTHIR,,1400.0,4999.0,B0FTXRR51J,,,,trending jamdani saree bengal handloom tant soft cotton whole body design without blouse piece
BENGAL HANDLOOM,,699.0,4649.0,B0B5PLFZZB,,3.9,102.0,exclusive dhakai allover soft pakhi jamdani sarees
ENRUBBY,,748.0,1999.0,B0FPM4C5W2,,4.0,34.0,pure spun linen cotton saree jamdani saree with attach unstitch blouse piece
dB DESH BIDESH,,490.0,2199.0,B091Q7246H,,3.6,87.0,"women`s cotton tant jamdani sarees for wedding, party with floral print combination breathable ready to wear saree tant jamdani georgette soft cotton sari without blouse piece"
SWORNOF,,1498.0,4999.0,B0GCNQ6V6Z,,,,cotton jamdani silk saree with unstitched boluse piece
C J Enterprise,,499.0,999.0,B0D8GYHB4M,,3.8,1.0,pure soft kanjivaram silk saree for wedding banarasi style sari with blouse piece (vruksh-50)
dB DESH BIDESH,,719.0,5999.0,B0FPG4MKR3,,3.0,2.0,"cotton silk handloom cotton jamdani sarees golden party, wear saree latest, ragini design new, collection tant cotton linen dhakai muslin sarees"
Mayabi,,1799.0,2499.0,B0DVLNCYQB,,,,traditional dhakai jamdani saree with blouse piece (unstitched)
dB DESH BIDESH,,572.0,5999.0,B0GF9717F5,,,,soft cotton tricolour handloom saree trendy republic day tiranga jamdani saree crepe mulmul mysore silk chiffon georgette flag sarees
Anchol,,899.0,2199.0,B0DFMMRVC7,,3.4,5.0,"bengal cotton silk soft jamdani saree - exclusive traditional design, quality saree with blouse piece"
Piyari Fashion,,496.0,1599.0,B0C854K4PH,,4.4,7.0,self design bollywood cotton silk jamdani saree without blouse piece (green)
Laxmi Handloom,,999.0,3999.0,B0C39FN26W,,4.3,10.0,traditional bengal soft cotton silk jamdani with kantha stitch saree without blouse piece
dB DESH BIDESH,,479.0,2999.0,B0CHF7BHXZ,,4.0,25.0,"women`s cotton silk soft dhakai jamdani sarees resham silk party, wear sarees diamond queen chikankari jamdani silk saree for wedding, jamdani latest, sarees"
PASUM'S,,1249.0,1999.0,B0G6ZS6Q1W,,,,women pure cotton silk handloom soft ful bahar dhakai jamdani ethnic saree for traditional with blouse piece
BENGAL HANDLOOM,,499.0,49900.0,B0CCJ6YG8B,,3.5,10.0,cotton silk dhakai bbd3 soft jamdani sarees
Generic,,1999.0,7200.0,B0GFPLBPTB,,,,"muslin jamdani silk saree, gold color, contrast zari border with minakari and zari weaves design, lightweight and transparent, party and festival wear"
BENGAL HANDLOOM,,999.0,3449.0,B0BSWFW4X6,,3.2,19.0,cotton silk angur dhakai allover soft jamdani sarees
